Score_Sum,Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,Full_Evaluation(gemini-3-pro-gpt-5.2).csv,Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,Full_Evaluation(qwen3-max-gpt-5.2).csv
0,2.25,0.28,0.0,0.0
1,0.84,0.0,0.0,0.0
2,0.56,0.0,0.0,0.0
3,0.28,0.0,0.0,0.0
4,0.28,0.28,0.0,0.56
6,0.0,0.0,0.0,1.12
7,0.0,0.28,0.0,0.28
9,0.0,0.28,0.0,0.84
10,0.0,0.28,0.0,0.0
11,1.12,0.0,0.84,0.84
12,0.28,0.28,0.28,0.0
13,0.56,0.28,0.56,0.28
14,0.84,0.28,2.81,0.0
15,1.69,1.4,8.43,0.28
16,2.81,2.53,14.33,0.28
17,5.34,6.46,20.22,1.12
18,7.87,15.73,23.88,3.93
19,7.58,6.74,12.92,5.06
20,9.83,13.48,9.27,5.62
21,9.83,19.94,4.21,10.67
22,13.48,14.04,2.25,16.29
23,11.8,11.24,0.0,15.73
24,10.11,5.62,0.0,14.33
25,8.99,0.28,0.0,9.27
26,2.53,0.28,0.0,11.24
27,0.84,0.0,0.0,2.25
28,0.28,0.0,0.0,0.0
